"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"2","choropleth","engagement","0","8","8","1","0"
"2","heatmap","designer","1","6","6","0","1"
"2","scatter","designer","8","5","3","-20","2"
"2","choropleth","linear","21","8","8","27","3"
"2","choropleth","designer","11","6","6","24","4"
"2","scatter","bayesian","24","4","3","37","5"
"2","scatter","kmeans","14","1","0","-26","6"
"2","choropleth","kmeans","18","4","4","-21","7"
"2","scatter","linear","6","8","7","44","8"
"2","heatmap","engagement","0","8","8","53","9"
"2","heatmap","bayesian","0","2","3","-16","10"
"2","scatter","bayesian","10","1","0","0","11"
"2","choropleth","bayesian","13","3","4","42","12"
"2","heatmap","designer","16","2","3","30","13"
"2","heatmap","bayesian","22","2","3","30","14"
"2","choropleth","linear","5","5","6","34","15"
"2","heatmap","linear","11","3","4","30","16"
"2","heatmap","kmeans","5","4","5","29","17"
"2","choropleth","kmeans","24","2","4","59","18"
"2","heatmap","kmeans","2","7","6","-43","19"
"2","heatmap","linear","14","8","8","-50","20"
"2","choropleth","bayesian","1","8","8","53","21"
"2","choropleth","bayesian","25","5","6","47","22"
"2","scatter","designer","6","1","0","48","23"
"2","scatter","linear","1","3","3","-41","24"
"2","choropleth","designer","12","7","7","32","25"
"2","scatter","engagement","0","8","8","34","26"
"2","scatter","designer","17","6","6","47","27"
"2","heatmap","kmeans","15","0","0","-5","28"
"2","heatmap","linear","18","2","3","-59","29"
"2","choropleth","designer","20","8","8","83","30"
"2","choropleth","kmeans","26","6","5","62","31"
"2","scatter","kmeans","8","2","2","52","32"
"2","scatter","linear","8","4","4","46","33"
"2","heatmap","designer","2","2","3","-32","34"
"2","scatter","bayesian","8","5","4","37","35"
"2","heatmap","bayesian","4","2","3","-50","36"
"2","scatter","kmeans","25","7","6","40","37"
"2","choropleth","linear","17","0","0","43","38"
"3","heatmap","linear","12","5","5","-9","0"
"3","heatmap","designer","10","0","0","100","1"
"3","heatmap","linear","15","6","6","74","2"
"3","choropleth","linear","21","6","5","64","3"
"3","choropleth","kmeans","12","1","0","33","4"
"3","choropleth","bayesian","6","4","5","34","5"
"3","choropleth","designer","16","4","3","38","6"
"3","heatmap","designer","9","8","8","-8","7"
"3","heatmap","kmeans","15","4","3","84","8"
"3","scatter","bayesian","1","0","0","43","9"
"3","scatter","linear","1","7","6","86","10"
"3","heatmap","kmeans","3","1","2","95","11"
"3","scatter","designer","0","0","7","75","12"
"3","scatter","kmeans","2","3","3","72","13"
"3","choropleth","bayesian","23","1","1","62","14"
"3","choropleth","linear","17","5","5","30","15"
"3","choropleth","kmeans","4","5","6","49","16"
"3","choropleth","engagement","0","8","8","-60","17"
"3","choropleth","kmeans","16","7","7","50","18"
"3","scatter","bayesian","25","4","4","90","19"
"3","scatter","linear","8","5","5","12","20"
"3","heatmap","designer","8","4","3","-90","21"
"3","choropleth","linear","0","1","2","33","22"
"3","heatmap","bayesian","4","3","4","8","23"
"3","choropleth","bayesian","5","7","7","76","24"
"3","scatter","designer","4","0","0","55","25"
"3","heatmap","kmeans","7","2","3","79","26"
"3","heatmap","engagement","0","8","8","67","27"
"3","scatter","bayesian","13","3","3","27","28"
"3","heatmap","bayesian","19","0","0","27","29"
"3","scatter","kmeans","8","1","1","74","30"
"3","heatmap","bayesian","3","8","8","55","31"
"3","scatter","linear","11","5","5","50","32"
"3","scatter","engagement","0","8","8","-23","33"
"3","choropleth","designer","15","0","0","88","34"
"3","scatter","kmeans","25","0","0","57","35"
"3","choropleth","designer","22","2","2","73","36"
"3","scatter","designer","18","6","6","88","37"
"3","heatmap","linear","18","5","5","60","38"
"5","scatter","linear","24","6","5","9","0"
"5","heatmap","bayesian","3","3","3","55","1"
"5","heatmap","kmeans","18","5","5","43","2"
"5","scatter","bayesian","5","1","2","78","3"
"5","choropleth","linear","26","2","2","100","4"
"5","heatmap","kmeans","23","4","4","80","5"
"5","heatmap","designer","7","8","8","64","6"
"5","heatmap","linear","14","7","7","-22","7"
"5","choropleth","designer","22","8","8","35","8"
"5","heatmap","bayesian","20","8","8","13","9"
"5","scatter","kmeans","17","1","1","57","10"
"5","choropleth","kmeans","3","3","3","30","11"
"5","scatter","designer","17","5","5","59","12"
"5","scatter","kmeans","4","8","8","-33","13"
"5","heatmap","bayesian","23","0","0","76","14"
"5","scatter","linear","15","8","8","-44","15"
"5","scatter","bayesian","11","8","8","83","16"
"5","choropleth","bayesian","19","4","4","53","17"
"5","choropleth","bayesian","21","1","1","56","18"
"5","heatmap","kmeans","24","2","2","27","19"
"5","scatter","linear","16","6","3","-90","20"
"5","choropleth","designer","25","6","5","49","21"
"5","choropleth","linear","10","8","8","-64","22"
"5","heatmap","engagement","0","8","8","40","23"
"5","scatter","designer","26","6","6","96","24"
"5","choropleth","bayesian","9","7","7","39","25"
"5","scatter","kmeans","9","6","5","99","26"
"5","heatmap","designer","23","7","7","-70","27"
"5","choropleth","designer","10","4","5","74","28"
"5","heatmap","linear","18","1","1","10","29"
"5","choropleth","kmeans","2","3","3","-92","30"
"5","choropleth","linear","6","4","4","0","31"
"5","scatter","designer","1","8","8","57","32"
"5","choropleth","kmeans","0","2","2","38","33"
