InstutionName	City	Tuition	InstitutionType
Alabama A & M University	Normal	15229	Public
University of Alabama at Birmingham	Birmingham	14789	Public
Amridge University	Montgomery	12992	Private
University of Alabama in Huntsville	Huntsville	18596	Public
Alabama State University	Montgomery	11110	Public
The University of Alabama	Tuscaloosa	20787	Public
Central Alabama Community College	Alexander City	6922	Public
Athens State University	Athens		Private
Auburn University at Montgomery	Montgomery	13431	Public
Auburn University	Auburn	18644	Public
Birmingham Southern College	Birmingham	18728	Private
Chattahoochee Valley Community College	Phenix City	1315	Public
Concordia College Alabama	Selma	12329	Private
South University-Montgomery	Montgomery	23048	Private
Enterprise State Community College	Enterprise	3762	Public
James H Faulkner State Community College	Bay Minette	6675	Public
Faulkner University	Montgomery	20240	Private
Gadsden State Community College	Gadsden	4352	Public
New Beginning College of Cosmetology	Albertville	9991	Private
George C Wallace State Community College-Dothan	Dothan	3115	Public
George C Wallace State Community College-Hanceville	Hanceville	7817	Public
George C Wallace State Community College-Selma	Selma	7207	Public
Herzing University-Birmingham	Birmingham	22103	Private
Huntingdon College	Montgomery	19040	Private
Heritage Christian University	Florence	10369	Private
J F Drake State Community and Technical College	Huntsville	10048	Public
Jacksonville State University	Jacksonville	17974	Public
Jefferson Davis Community College	Brewton	3888	Public
Jefferson State Community College	Birmingham	9207	Public
John C Calhoun State Community College	Tanner	5686	Public
Judson College	Marion	11592	Private
Lawson State Community College-Birmingham Campus	Birmingham	7387	Public
University of West Alabama	Livingston	13092	Public
Lurleen B Wallace Community College	Andalusia	7748	Public
Marion Military Institute	Marion	10679	Public
Miles College	Fairfield	16694	Private
University of Mobile	Mobile	19017	Private
University of Montevallo	Montevallo	16877	Public
Northwest-Shoals Community College	Muscle Shoals	6513	Public
University of North Alabama	Florence	11294	Public
Northeast Alabama Community College	Rainsville	3049	Public
Oakwood University	Huntsville	24992	Private
Alabama Southern Community College	Monroeville	4703	Public
Prince Institute-Southeast	Elmhurst	21801	Private
Reid State Technical College	Evergreen	3799	Public
Bishop State Community College	Mobile	4805	Public
Samford University	Birmingham	26733	Private
Selma University	Selma	9459	Private
Shelton State Community College	Tuscaloosa	8924	Public
Snead State Community College	Boaz	4743	Public
University of South Alabama	Mobile	14327	Public
Spring Hill College	Mobile	19713	Private
Southeastern Bible College	Birmingham	13536	Private
Stillman College	Tuscaloosa	17002	Private
Talladega College	Talladega	12629	Private
H Councill Trenholm State Community College	Montgomery	6157	Public
Troy University	Troy	11907	Public
Tuskegee University	Tuskegee	29242	Private
United States Sports Academy	Daphne		Private
Bevill State Community College	Jasper	7848	Public
University of Alaska Anchorage	Anchorage	8661	Public
Alaska Bible College	Palmer	11621	Private
University of Alaska Fairbanks	Fairbanks	9188	Public
University of Alaska Southeast	Juneau	8971	Public
Alaska Pacific University	Anchorage	25616	Private
AVTEC-Alaska's Institute of Technology	Seward		Private
Charter College-Anchorage	Anchorage	27226	Private
Alaska Career College	Anchorage	16474	Private
Everest College-Phoenix	Phoenix	21742	Private
Collins College	Phoenix		Private
Empire Beauty School-Paradise Valley	Phoenix	12407	Private
Empire Beauty School-Tucson	Tucson	12834	Private
Thunderbird School of Global Management	Glendale		Private
American Indian College Inc	Phoenix	16269	Private
American Institute of Technology	Phoenix	15727	Private
Carrington College-Phoenix	Phoenix	19454	Private
Carrington College-Mesa	Mesa	19490	Private
Carrington College-Tucson	Tucson	19295	Private
CollegeAmerica-Flagstaff	Flagstaff	24472	Private
Arizona Academy of Beauty-East	Tucson	17778	Private
Arizona Automotive Institute	Glendale	29392	Private
Brookline College-Phoenix	Phoenix	29295	Private
Arizona State University-Tempe	Tempe	10858	Public
Arizona Western College	Yuma	8978	Public
University of Arizona	Tucson	15215	Public
Southwest University of Visual Arts-Tucson	Tucson	41525	Private
Central Arizona College	Coolidge	5211	Public
Brown Mackie College-Tucson	Tucson	19765	Private
Charles of Italy Beauty College	Lake Havasu City	10147	Private
Cochise County Community College District	Douglas	5572	Public
Empire Beauty School-Flagstaff	Flagstaff	13252	Private
Empire Beauty School-Chandler	Chandler	12266	Private
Cortiva Institute-Tucson	Tucson	19592	Private
Avalon School of Cosmetology-Mesa	Mesa	12008	Private
Eastern Arizona College	Thatcher	6611	Public
Embry-Riddle Aeronautical University-Prescott	Prescott	30002	Private
Frank Lloyd Wright School of Architecture	Scottsdale		Private
Glendale Community College	Glendale	7600	Public
Grand Canyon University	Phoenix	28039	Private
International Academy of Hair Design	Tempe	15073	Private
GateWay Community College	Phoenix	8019	Public
Mesa Community College	Mesa	8494	Public
ITT Technical Institute-Tucson	Tucson	24023	Private
ITT Technical Institute-Tempe	Tempe	23899	Private
Mohave Community College	Kingman	8018	Public
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division	Phoenix	17715	Private
